Iteration, Temperature, Current, Candidate, BCandidate, Best
0, 295.7525, 908, 948, 948, 908
0, 295.7525, 908, 948, 948, 908
1, 295.7525, 908, 947, 947, 908
2, 295.7525, 947, 923, 923, 908
3501, 295.7525, 1395, 1405, 923, 908
7002, 295.7525, 1366, 1380, 923, 908
10503, 295.7525, 1386, 1405, 923, 908
14004, 295.7525, 1266, 1261, 923, 908
17505, 295.7525, 1407, 1403, 923, 908
21006, 295.7525, 1388, 1503, 923, 908
24507, 295.7525, 1357, 1330, 923, 908
28008, 295.7525, 1399, 1366, 923, 908
31509, 295.7525, 1351, 1385, 923, 908
35000, 294.2737, 1375, 1419, 923, 908
38501, 294.2737, 1336, 1306, 923, 908
42002, 294.2737, 1285, 1274, 923, 908
45503, 294.2737, 1413, 1386, 923, 908
49004, 294.2737, 1318, 1323, 923, 908
52505, 294.2737, 1328, 1297, 923, 908
56006, 294.2737, 1386, 1389, 923, 908
59507, 294.2737, 1324, 1326, 923, 908
63008, 294.2737, 1324, 1341, 923, 908
66509, 294.2737, 1299, 1373, 923, 908
70000, 292.8024, 1352, 1382, 923, 908
73501, 292.8024, 1303, 1305, 923, 908
77002, 292.8024, 1431, 1464, 923, 908
80503, 292.8024, 1244, 1297, 923, 908
84004, 292.8024, 1300, 1317, 923, 908
87505, 292.8024, 1274, 1261, 923, 908
91006, 292.8024, 1405, 1425, 923, 908
94507, 292.8024, 1406, 1388, 923, 908
98008, 292.8024, 1447, 1377, 923, 908
101509, 292.8024, 1267, 1267, 923, 908
105000, 291.3383, 1320, 1279, 923, 908
108501, 291.3383, 1419, 1396, 923, 908
112002, 291.3383, 1327, 1323, 923, 908
115503, 291.3383, 1237, 1246, 923, 908
119004, 291.3383, 1329, 1327, 923, 908
122505, 291.3383, 1392, 1411, 923, 908
126006, 291.3383, 1232, 1259, 923, 908
129507, 291.3383, 1399, 1411, 923, 908
133008, 291.3383, 1356, 1367, 923, 908
136509, 291.3383, 1394, 1384, 923, 908
140000, 289.8816, 1396, 1356, 923, 908
143501, 289.8816, 1348, 1375, 923, 908
